Filter,CQ
GF1.5,38.02844711
GF1.5,39.01459626
GF1.5,34.81742437
GF1.5,37.36559189
GF1.5,38.53087809
GF1.5,37.67238514
GF1.5,35.9766439
GF1.5,37.77968261
GF1.5,37.27946114
GF1.5,36.49230403
GF1.5,39.85525275
GF1.5,0
GF1.5,41.2582099
GF1.5,0
GF1.5,0
CN0.45,35.66866808
CN0.45,39.99554921
CN0.45,37.3006517
CN0.45,40.37757232
CN0.45,35.25645802
CN0.45,37.44432006
CN0.45,35.10461805
CN0.45,37.98212981
CN0.45,35.57734292
CN0.45,39.86833118
CN0.45,36.21013369
CN0.45,38.90581613
CN0.45,35.16848011
CN0.45,37.38187064
CN0.45,34.62229374
CN0.45,36.8060371
CN5,0
CN5,35.52688116
CN5,35.8098265
CN5,35.89601723
CN5,0
CN5,35.18844669
CN5,34.30888629
CN5,34.17244201
CN5,39.03561375
CN5,36.98248332
CN5,35.86611013
CN5,34.62951847
CN5,41.2387552
CN5,35.65321392
CN5,33.69306855
CN5,34.1723005
CN1.2,0
CN1.2,41.81537684
CN1.2,36.60642767
CN1.2,35.86106654
CN1.2,33.64081701
CN1.2,35.59571911
CN1.2,34.55315319
CN1.2,34.49487183
CN1.2,35.93811079
CN1.2,36.16452368
CN1.2,35.80394639
CN1.2,35.38915837
CN1.2,34.23538334
CN1.2,35.78573208
CN1.2,36.92683712
CN1.2,35.35747351
