Filter,CQ
0.45NC,0
0.45NC,0
0.45NC,38.2735311783526
0.45NC,38.5989440697527
0.45NC,37.9790103548482
0.45NC,0
0.45NC,0
0.45NC,39.2642508262412
0.45NC,0
0.45NC,41.7628177263692
0.45NC,38.0368051297047
0.45NC,35.1593997316897
0.45NC,0
0.45NC,0
0.45NC,36.342403410427
0.45NC,0
0.45NC,38.4633765767737
0.45NC,38.2641834374732
0.45NC,38.4472200308888
0.45NC,0
0.45NC,0
0.45NC,39.2105351734656
0.45NC,38.8819824458009
0.45NC,0
0.45NC,0
0.45NC,36.2614952366827
0.45NC,38.5384974554841
0.45NC,39.8409822423236
0.45NC,39.085847478375
0.45NC,38.8939117705198
0.45NC,40.5502671985955
1.2CN,37.7475764478878
1.2CN,38.1256668150903
1.2CN,34.3803892265437
1.2CN,34.4994829159585
1.2CN,36.4654201078964
1.2CN,37.1895417044231
1.2CN,33.8637143089889
1.2CN,33.7638004653611
1.2CN,38.7623407101997
1.2CN,37.2007202131232
1.2CN,33.9301043190496
1.2CN,34.7770434013027
1.2CN,37.3594796826885
1.2CN,39.1334784828417
1.2CN,32.4822651009122
1.2CN,33.1276140370746
1.2CN,39.7696776330091
1.2CN,36.7145993733766
1.2CN,34.3666095320424
1.2CN,34.9904071416515
1.2CN,37.2237739925327
1.2CN,39.018668952633
1.2CN,33.1593950241095
1.2CN,33.3707010483372
1.2CN,37.4636090781497
1.2CN,38.1401340480454
1.2CN,34.0282953715324
1.2CN,34.0787133137425
1.2CN,37.1054722861078
1.2CN,36.7641408382952
1.2CN,33.2663648477308
1.2CN,33.6830374977167
1.5GF,35.05163789892
1.5GF,34.1229882288619
1.5GF,42.3022739152632
1.5GF,42.4655528815323
1.5GF,37.1215353498422
1.5GF,37.7653788071114
1.5GF,38.3477721162374
1.5GF,38.6213053550646
1.5GF,33.4408382757108
1.5GF,33.8197164704097
1.5GF,42.5641452842791
1.5GF,42.5255351178458
1.5GF,36.9333180142997
1.5GF,37.1095923342681
1.5GF,36.9953359888007
1.5GF,37.5465770935977
1.5GF,33.6257703968674
1.5GF,33.39186586404
1.5GF,41.5208888346166
1.5GF,42.0037477242659
1.5GF,37.0429606706455
1.5GF,37.5106265815797
1.5GF,37.0635577099868
1.5GF,38.8817120514243
1.5GF,33.4086842274099
1.5GF,34.3221472106253
1.5GF,41.1844201686193
1.5GF,41.2915566551361
1.5GF,37.2246674918571
1.5GF,37.4572532601685
1.5GF,37.6155714390861
1.5GF,38.1071757482822
5CN,37.3617080391745
5CN,38.2529559947387
5CN,36.5420184445284
5CN,0
5CN,34.462517109366
5CN,34.3903628025777
5CN,35.3544081839358
5CN,35.8083422364673
5CN,36.581309379136
5CN,36.3812271811473
5CN,36.2055388837803
5CN,37.7898592338245
5CN,33.3339094153822
5CN,34.0422115654796
5CN,33.9686642736304
5CN,34.1359696016217
5CN,35.9204336432392
5CN,36.8025519596595
5CN,36.7267412127648
5CN,35.780956190492
5CN,34.0983261236501
5CN,34.7810100720369
5CN,35.0399123067028
5CN,34.9553336016576
5CN,36.2809819811889
5CN,39.31012720225
5CN,37.1461760107065
5CN,37.3980739333959
5CN,34.3634954143481
5CN,34.4996844867578
5CN,34.5230656177415
5CN,35.413317312928
