Sample,Target,EqCq Mean,EqCq Mean2,EqCq Mean3,EqCq Mean4,Lot,Column3,Instrument ,Mean_Cq,Plate
316,IPC,26.78067728,26.69926085,26.83326369,26.64824528,SLCA-PN-001-NC-OS-F,316,OS,26.74026627,4
316,P.Mar cytb,,,,,SLCA-PN-001-NC-OS-F,316,OS,#NUM!,4
317,IPC,26.9759904,26.85133606,26.8454735,26.77888636,SLCA-PN-001-R1-OS-F,317,OS,26.86282729,4
317,P.Mar cytb,33.11129341,33.70313832,33.91820053,32.85671076,SLCA-PN-001-R1-OS-F,317,OS,33.39456911,4
318,IPC,26.85879834,26.76075027,26.8468654,26.70988801,SLCA-PN-001-R2-OS-F,318,OS,26.79400469,4
318,P.Mar cytb,33.97514417,33.56105237,33.73154033,33.81576588,SLCA-PN-001-R2-OS-F,318,OS,33.77054505,4
319,IPC,26.90683306,26.72822404,26.95457799,26.79100831,SLCA-PN-001-R3-OS-F,319,OS,26.84501004,4
319,P.Mar cytb,32.91040923,34.01696367,33.6803683,33.38200615,SLCA-PN-001-R3-OS-F,319,OS,33.49496462,4
320,IPC,26.93906581,26.81867001,26.84737488,26.69772026,SLCA-PN-002-NC-OS-F,320,OS,26.82556904,4
320,P.Mar cytb,,,,,SLCA-PN-002-NC-OS-F,320,OS,#NUM!,4
321,IPC,27.69490813,27.71195999,27.90534539,27.65384937,SLCA-PN-002-R1-OS-F,321,OS,27.74134682,4
321,P.Mar cytb,41.85254636,40.9857612,43.81031916,43,SLCA-PN-002-R1-OS-F,321,OS,42.3984462,4
322,IPC,27.1601743,27.08283542,27.15742046,27.06909571,SLCA-PN-002-R2-OS-F,322,OS,27.11734939,4
322,P.Mar cytb,35.96953613,35.39875015,35.87317346,36.3494986,SLCA-PN-002-R2-OS-F,322,OS,35.89613972,4
323,IPC,27.2119815,27.15180369,27.06731614,27.07321125,SLCA-PN-002-R3-OS-F,323,OS,27.12601233,4
323,P.Mar cytb,32.16376007,31.77117309,31.93738947,32.0961412,SLCA-PN-002-R3-OS-F,323,OS,31.99175573,4
324,IPC,26.81503477,26.87790151,26.90831863,26.78893334,SLCA-PN-003-NC-OS-F,324,OS,26.84750466,4
324,P.Mar cytb,37.29717506,37.5552536,,37.70582245,SLCA-PN-003-NC-OS-F,324,OS,37.51903722,4
325,IPC,26.94540983,26.89555475,26.97107185,26.73732081,SLCA-PN-003-R1-OS-F,325,OS,26.8871858,4
325,P.Mar cytb,,,,,SLCA-PN-003-R1-OS-F,325,OS,#NUM!,4
326,IPC,26.91651723,26.97375718,27.00712134,26.83415799,SLCA-PN-003-R2-OS-F,326,OS,26.93280857,4
326,P.Mar cytb,,,,,SLCA-PN-003-R2-OS-F,326,OS,#NUM!,4
327,IPC,26.93870223,26.98097919,26.97450309,26.80730173,SLCA-PN-003-R3-OS-F,327,OS,26.9252803,4
327,P.Mar cytb,,,,,SLCA-PN-003-R3-OS-F,327,OS,#NUM!,4
328,IPC,26.88828589,26.76933346,26.73363245,26.64261481,Batch-20-NC,328,,26.75832187,4
328,P.Mar cytb,,,,,Batch-20-NC,328,,#NUM!,4
329,IPC,26.82884958,26.90741418,26.71637362,26.64049086,SLCA-PN-001-NC-D-F,329,DIY,26.7730862,4
329,P.Mar cytb,,,,,SLCA-PN-001-NC-D-F,329,DIY,#NUM!,4
330,IPC,28.88424825,29.15902691,28.30747769,28.26063416,SLCA-PN-001-R1-D-F,330,DIY,28.65030786,4
330,P.Mar cytb,,,,,SLCA-PN-001-R1-D-F,330,DIY,#NUM!,4
331,IPC,26.76923608,26.92127737,26.84836994,26.75661178,SLCA-PN-001-R2-D-F,331,DIY,26.82379184,4
331,P.Mar cytb,31.13015866,30.88067465,31.05070311,31.28623131,SLCA-PN-001-R2-D-F,331,DIY,31.08659829,4
332,IPC,26.80115678,26.87166575,26.74263023,26.67538356,SLCA-PN-001-R3-D-F,332,DIY,26.77261114,4
332,P.Mar cytb,34.40407295,33.65225036,33.50672883,34.66991147,SLCA-PN-001-R3-D-F,332,DIY,34.05470979,4
333,IPC,26.67668651,26.77410905,26.78558539,26.66900766,SLCA-PN-002-NC-D-F,333,DIY,26.72629316,4
333,P.Mar cytb,37.57147512,,37.19389729,36.76366325,SLCA-PN-002-NC-D-F,333,DIY,37.17487964,4
334,IPC,26.92385472,26.97603876,26.8974246,26.83990108,SLCA-PN-002-R1-D-F,334,DIY,26.90926009,4
334,P.Mar cytb,38.49815105,35.86883997,34.17108674,34.61695709,SLCA-PN-002-R1-D-F,334,DIY,35.7500144,4
335,IPC,26.96600355,26.8904794,27.00383077,26.78923215,SLCA-PN-002-R2-D-F,335,DIY,26.91226149,4
335,P.Mar cytb,35.52079109,35.12119289,35.13607173,37.16945566,SLCA-PN-002-R2-D-F,335,DIY,35.72710476,4
336,IPC,26.99287346,26.99853424,26.94040397,26.84275358,SLCA-PN-002-R3-D-F,336,DIY,26.94356873,4
336,P.Mar cytb,37.23189264,36.44473868,35.97346167,38.47051358,SLCA-PN-002-R3-D-F,336,DIY,37.01817826,4
337,IPC,26.77581046,26.89584855,26.7649538,26.59037944,SLCA-PN-003-NC-D-F,337,DIY,26.75652613,4
337,P.Mar cytb,,,,,SLCA-PN-003-NC-D-F,337,DIY,#NUM!,4
338,IPC,26.84605227,26.83058177,26.74656702,26.78264444,SLCA-PN-003-R1-D-F,338,DIY,26.80143244,4
338,P.Mar cytb,,,,,SLCA-PN-003-R1-D-F,338,DIY,#NUM!,4
339,IPC,26.71701403,26.88097405,26.79289364,26.58965793,SLCA-PN-003-R2-D-F,339,DIY,26.7449212,4
339,P.Mar cytb,,,,,SLCA-PN-003-R2-D-F,339,DIY,#NUM!,4
340,IPC,26.73443717,26.83223574,26.78229563,26.65909624,SLCA-PN-003-R3-D-F,340,DIY,26.75194003,4
340,P.Mar cytb,,,37.50751451,,SLCA-PN-003-R3-D-F,340,DIY,37.50751451,4
341,IPC,26.72736925,26.77302775,26.75142005,26.62413718,Batch-21-NC,341,,26.71892748,4
341,P.Mar cytb,,,,,Batch-21-NC,341,,#NUM!,4
342,IPC,26.76959282,26.83603126,26.75462012,26.54637049,SLCA-CR-001-NC-D-F,342,DIY,26.7264329,4
342,P.Mar cytb,,,,,SLCA-CR-001-NC-D-F,342,DIY,#NUM!,4
343,IPC,29.6557897,29.81019313,29.419848,29.09887571,SLCA-CR-001-R1-D-F,343,DIY,29.49495441,4
